1;2;3;4;6;7;8;9;10;11;12;13;14
SWN;2005;31/12/2005;14:00;01/01/2006;13:00;270º, 17º;2;1;(-BA +BT);7.745;12.957;119.93º
NES;2006;05/02/2006;20:00;06/02/2006;12:00;81º, 2º;1;1;(-BA +BT);11.360;14.637;110.73º
ENW;2006;13/04/2006;15:00;13/04/2006;22:00;163º, 81º;0;1;(-BA -BT);36.7;19.1;137.44º
NWS;2006;13/04/2006;22:00;14/04/2006;09:00;254º, -8º;1;1;(+BA +BT);2.2;5.7;97.91º
NWS;2006;30/08/2006;21:00;31/08/2006;17:00;257º, 41º;1;2;(+BA -BT);25.786;11.381;139.24º
NWS;2006;30/09/2006;08:00;30/09/2006;20:00;306º, 23º;1;1;(-BA -BT);49.960;17.803;103.73º
NES;2006;29/11/2006;12:00;30/11/2006;10:00;80º, -14º;2;2;(-BA +BT);4.216;9.722;157.58º
NOT;2006;14/12/2006;22:00;15/12/2006;13:00;NOT;0;0;NOT;*;*;*
NWS;2007;14/01/2007;12:00;15/01/2007;07:00;283º, 40º;2;1;(-BA -BT);4.812;10.463;116.33º
NWS;2007;20/11/2007;00:00;20/11/2007;12:00;284º, -8º;2;2;(+BA -BT);11.500;14.965º;155.14º
NOT;2008;17/09/2008;21:00;18/09/2008;05:00;NOT;0;0;NOT;*;*;*
NOT;2008;04/12/2008;20:00;05/12/2008;07:00;NOT;0;0;NOT;*;*;*
NOT;2009;17/12/2008;04:00;17/12/2008;14:00;NOT;0;0;NOT;*;*;*
SWN;2009;19/01/2009;01:00;19/01/2009;07:00;301º, -2º;2;2;(+BA +BT);2.412;6.192;136.72º
NOT;2009;26/01/2009;10:00;26/01/2009;15:00;NOT;0;0;NOT;*;*;*
NES;2009;04/02/2009;00:00;04/02/2009;11:00;102º, 1º;1;1;(+BA +BT);4.632;10.100;159.50º
NWS;2009;03/06/2009;23:00;05/06/2009;08:00;223º, -14º;1;2;(+BA -BT);2.084;5.009;118.13º
WNE;2009;27/06/2009;23:00;28/06/2009;12:00;110º, 71º;0;1;NOT;2.486;6.436;134.22º
NOT;2009;22/07/2009;00:00;22/07/2009;08:00;NOT;0;0;NOT;*;*;*
NWS;2009;30/09/2009;10:00;30/09/2009;20:00;296º, 23º;1;1;(+BA -BT);5.357;11.333;95.40º
NWS;2009;29/10/2009;09:00;29/10/2009;23:00;248º, -1º;1;1;(+BA -BT);2.217;5.765;121.74º
NOT;2009;14/11/2009;10:00;14/11/2009;18:00;NOT;0;0;NOT;*;*;*
NES;2009;12/12/2009;20:00;13/12/2009;22:00;70º, 25º;1;1;(+BA +BT);3.048;7.635;101.55º
NES;2010;02/01/2010;02:00;03/01/2010;00:00;76º,36º;1;1;(+BA +BT);5.803;11.014;130.31º
SWN;2010;07/02/2010;22:00;08/02/2010;20:00;244º, 32º;2;1;(-BA +BT);5.043;10.581;136.90º
NOT;2010;22/02/2010;14:00;22/02/2010;23:00;NOT;0;0;NOT;*;*;*
NWS;2010;05/04/2010;18:00;06/04/2010;13:00;222º, -21º;2;2;(-BA +BT);5.784;11.764;107.98º
SWN;2010;09/04/2010;20:00;10/04/2010;20:00;271º, 10º;2;1;(-BA +BT);3.079;4.622;94.55º
